state,num_fires,num_acres_burned
Alabama,1040,22055
Alaska,384,253357
Arizona,1773,524428
Arkansas,378,17003
California,9260,2233666
Colorado,1017,48195
Connecticut,60,127
Delaware,0,0
District of Columbia,0,0
Florida,2262,105475
Georgia,2139,11108
Hawaii,1,40000
Idaho,1332,439600
Illinois,29,219
Indiana,34,836
Iowa,187,7950
Kansas,55,163982
Kentucky,723,22859
Louisiana,507,10303
Maine,636,377
Maryland,112,1162
Massachusetts,588,1439
Michigan,435,9289
Minnesota,2065,69405
Mississippi,922,21037
Missouri,1531,40262
Montana,2573,747678
Nebraska,785,27294
Nevada,565,123427
New Hampshire,280,96
New Jersey,906,6652
New Mexico,672,123792
New York,137,550
North Carolina,5151,25838
North Dakota,946,49347
Ohio,524,1415
Oklahoma,1727,113235
Oregon,2202,828777
Pennsylvania,1350,2892
Puerto Rico,0,0
Rhode Island,99,178
South Carolina,630,7337
South Dakota,868,43620
Tennessee,550,4937
Texas,5576,168258
Utah,1085,60863
Vermont,90,157
Virginia,567,6696
Washington,1863,674222
West Virginia,752,7504
Wisconsin,1040,2159
Wyoming,540,53496
United States (1),58948,7124554
